

Func[3..0] ALUOp[2..0] | Op[3..0]
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
   0000        000     |   000-  
   0000        001     |   000-  
   0000        010     |   000-  
   0000        011     |   000-  
   0000        100     |   001-  
   0000        101     |   000-  
   0000        110     |   ----  
   0000        111     |   ----  
   0001        000     |   001-  
   0001        001     |   ----  
   0001        010     |   ----  
   0001        011     |   ----  
   0001        100     |   001-  
   0001        101     |   ----  
   0001        110     |   ----  
   0001        111     |   ----  
   0010        000     |   ----  
   0010        001     |   ----  
   0010        010     |   000-  
   0010        011     |   000-  
   0010        100     |   001-  
   0010        101     |   ----  
   0010        110     |   ----  
   0010        111     |   ----  
   0011        000     |   ----  
   0011        001     |   ----  
   0011        010     |   ----  
   0011        011     |   ----  
   0011        100     |   001-  
   0011        101     |   ----  
   0011        110     |   ----  
   0011        111     |   ----  
   0100        000     |   ----  
   0100        001     |   ----  
   0100        010     |   ----  
   0100        011     |   ----  
   0100        100     |   001-  
   0100        101     |   ----  
   0100        110     |   ----  
   0100        111     |   ----  
   0101        000     |   ----  
   0101        001     |   ----  
   0101        010     |   ----  
   0101        011     |   ----  
   0101        100     |   001-  
   0101        101     |   ----  
   0101        110     |   ----  
   0101        111     |   ----  
   0110        000     |   ----  
   0110        001     |   ----  
   0110        010     |   ----  
   0110        011     |   ----  
   0110        100     |   001-  
   0110        101     |   ----  
   0110        110     |   ----  
   0110        111     |   ----  
   0111        000     |   1111  
   0111        001     |   1111  
   0111        010     |   ----  
   0111        011     |   ----  
   0111        100     |   001-  
   0111        101     |   ----  
   0111        110     |   ----  
   0111        111     |   ----  
   1000        000     |   010-  
   1000        001     |   000-  
   1000        010     |   000-  
   1000        011     |   000-  
   1000        100     |   001-  
   1000        101     |   000-  
   1000        110     |   ----  
   1000        111     |   ----  
   1001        000     |   ----  
   1001        001     |   ----  
   1001        010     |   ----  
   1001        011     |   ----  
   1001        100     |   001-  
   1001        101     |   ----  
   1001        110     |   ----  
   1001        111     |   ----  
   1010        000     |   ----  
   1010        001     |   ----  
   1010        010     |   000-  
   1010        011     |   000-  
   1010        100     |   001-  
   1010        101     |   ----  
   1010        110     |   ----  
   1010        111     |   ----  
   1011        000     |   ----  
   1011        001     |   ----  
   1011        010     |   ----  
   1011        011     |   ----  
   1011        100     |   001-  
   1011        101     |   ----  
   1011        110     |   ----  
   1011        111     |   ----  
   1100        000     |   ----  
   1100        001     |   ----  
   1100        010     |   ----  
   1100        011     |   ----  
   1100        100     |   001-  
   1100        101     |   ----  
   1100        110     |   ----  
   1100        111     |   ----  
   1101        000     |   0111  
   1101        001     |   ----  
   1101        010     |   ----  
   1101        011     |   ----  
   1101        100     |   001-  
   1101        101     |   ----  
   1101        110     |   ----  
   1101        111     |   ----  
   1110        000     |   ----  
   1110        001     |   ----  
   1110        010     |   ----  
   1110        011     |   ----  
   1110        100     |   001-  
   1110        101     |   ----  
   1110        110     |   ----  
   1110        111     |   ----  
   1111        000     |   ----  
   1111        001     |   1111  
   1111        010     |   ----  
   1111        011     |   ----  
   1111        100     |   001-  
   1111        101     |   ----  
   1111        110     |   ----  
   1111        111     |   ----  
